city,stationID,stationName,aliases,translations,stationCode,longerStationCode,altCodes,priority
"Cannon Beach, OR",,Cannon Beach,,,CBO,,,0
"Cleburne, TX",,Cleburne,,,CBR,,,0
"Columbus, WI",,Columbus,,,CBS,,,0
"Coos Bay, OR",,Coos Bay,,,CBY,,,0
"Cabazon, CA",,Cabazon,,,CBZ,,,0
"Cambridge, MD",,Cambridge,,,CDE,,,0
"Carbondale, IL",,Carbondale,,,CDL,,,0
"Camden-Rockport, ME",,Rockport,,,CDN,,,0
"Cedar Springs, MI",,Cedar Springs,,,CDS,,,0
"Centralia, IL",,Centralia,,,CEN,,,0
"Clearfield, PA",,Clearfield,,,CFD,,,0
"Colfax, WA",,Colfax,,,CFX,,,0
"Coarsegold, CA",,Coarsegold,,,CGD,,,0
"Cheboygan, MI",,Cheboygan,,,CHB,,,0
"Chicago, IL",,Union Station,Union Station,,CHI,,,0
"Charlevoix, MI",,Charlevoix,,,CHL,,,0
"Champaign-Urbana, IL",,Champaign,Urbana,,CHM,,,0
"Chiloquin, OR",,Chiloquin,"Kla-Mo-Ya Casino,Kla Mo Ya Casino,Klamoya Casino",,CHN,,,0
"Chippewa Falls, WI",,Chippewa Falls,,,CHP,,,0
"Charleston, SC",,North Charleston,,,CHS,,,0
"Charleston, WV",,Charleston,,,CHW,,,0
"Chico, CA",,Chico,,,CIC,,,0
"Cincinnati, OH",,Union Terminal,Union Terminal,,CIN,,,0
"Claremont, NH",,Claremont,,,CLA,,,0
"Columbia, SC",,Columbia,,,CLB,,,0
"Cadillac, MI",,Cadillac,,,CLC,,,0
"Cleveland, OH",,Cleveland,,,CLE,,,0
"Clifton Forge, VA",,Clifton Forge,,,CLF,,,0
"Claremont, CA",,Claremont,,,CLM,,,0
"Clinton, CT",,Clinton,,,CLN,,,0
"Culpeper, VA",,Culpeper,,,CLP,,,0
"Clare, MI",,Clare,,,CLR,,,0
"Charlotte, NC",,Charlotte,,,CLT,,,0
"Cloverdale, CA",,Cloverdale,,,CLV,,,0
"Camarillo, CA",,Camarillo,,,CML,,,0
"Chemult, OR",,Chemult,,,CMO,,,0
"Col Allensworth State Park, CA",,Allensworth,"Allensworth,Colonel Allensworth,cnl",,CNL,,,0
"Castleton, VT",,Castleton,,,CNV,,,0
"Corcoran, CA",,Corcoran,,,COC,,,0
"Connersville, IN",,Connersville,,,COI,,,0
"Coatesville, PA",,Coatesville,,,COT,,,0
"Connellsville, PA",,Connellsville,,,COV,,,0
"Colfax, CA",,Colfax,,,COX,,,0
"Cameron Park, CA",,Cameron Park,"Cambridge Road,Cambridge Rd.",,CPC,,,0
"Carpinteria, CA",,Carpinteria,,,CPN,,,0
"Crescent City, CA",,Crescent City,,,CRC,,,0
"Crawfordsville, IN",,Crawfordsville,,,CRF,,,0
"Cherry Hill, NJ",,Cherry Hill,,,CRH,,,0
"Carmel, CA",,Carmel,,,CRM,,,0
"Creston, IA",,Creston,,,CRN,,,0
